AU	TI	SO	AB	PY	DI
Jezberova, J; Jezbera, J; Brandt, U; Lindstrom, ES; Langenheder, S; Hahn, MW	Ubiquity of Polynucleobacter necessarius ssp asymbioticus in lentic freshwater habitats of a heterogenous 2000 km2 area	ENVIRONMENTAL MICROBIOLOGY	P>We present a survey on the distribution and habitat range of Polynucleobacter necessarius ssp. asymbioticus (PnecC), a numerically and functionally important taxon in the plankton of freshwater systems. We systematically sampled stagnant freshwater habitats in a heterogeneous 2000 km2 area, together with ecologically different habitats outside this area. In total, 137 lakes, ponds and puddles were investigated, which represent an enormous diversity of habitats differing, e.g. in depth (< 10 cm - 171 m) and pH (3.9-8.5). PnecC bacteria were detected by cultivation-independent methods in all investigated habitats, and their presence was confirmed by cultivation of strains from selected habitats representing the whole studied ecological range. The determined relative abundance of the subspecies ranged from values close to the detection limit of FISH (0.2%) to 67% (average 14.5%), and the highest observed absolute abundance was 5.3 x 106 cells ml-1. Statistical analyses revealed that the abundance of PnecC bacteria was partially controlled by factors linked to concentrations of humic substances, which support the hypothesis that these bacteria utilize photodegradation products of humic substances. Based on the revealed statistical relationships, an average relative abundance of this subspecies of 20% in global freshwater habitats was extrapolated. Our study provides important implications for the current debate on ubiquity and biogeography in microorganisms.	2010	10.1111/j.1462-2920.2009.02106.x
Berke, SK; Mahon, AR; Lima, FP; Halanych, KM; Wethey, DS; Woodin, SA	Range shifts and species diversity in marine ecosystem engineers: patterns and predictions for European sedimentary habitats	GLOBAL ECOLOGY AND BIOGEOGRAPHY	Aim Ecosystem engineering polychaetes in the genus Diopatra are undergoing range shifts in western Europe. Here we: (1) assess the species diversity underlying these shifts; (2) link biogeographic patterns to sea surface temperature patterns; and (3) predict possible ecosystem-level outcomes of Diopatras northward expansion. Location Western Europe. Methods We use molecular phylogenetic and morphological evidence to assess species diversity and biogeographic ranges. Using regression tree analyses, we assess thermal limits for two Diopatra species. We compare biogeographic patterns with historical sea surface temperature patterns to draw links between range shifts and climate change. Finally, we review published data to predict potential ecological changes as Diopatra invades new habitats. Results The native Diopatra neapolitana range has contracted 130 km to the south. A cryptogenic species, Diopatra sp. A, has extended the northern limit of the genus 350 km to the southern Brittany Peninsula. Both shifts can be explained by historical sea surface temperature anomalies. The Diopatra sp. A expansion is predicted to continue into the English Channel and the North Sea, introducing large tube structures to sheltered sedimentary habitats that currently lack such structures. Main conclusions As climate change intensifies, the sediment-stabilizing Diopatra sp. A will invade habitats dominated by the bioturbating lugworm Arenicola marina. The resulting interaction between functionally different ecosystem engineers will probably cause ecological changes in northern European coastal waters. Existing data for Diopatra species and arenicolids suggest that the diversity and biomass of macroalgae, vascular plants, infauna and epibenthic fauna may increase, while microbial activity may decrease. Net changes in productivity will depend on the relative rates of these changes.	2010	10.1111/j.1466-8238.2009.00509.x
Humbert, S; Tarnawski, S; Fromin, N; Mallet, MP; Aragno, M; Zopfi, J	Molecular detection of anammox bacteria in terrestrial ecosystems: distribution and diversity	ISME JOURNAL	Anaerobic oxidation of ammonium (anammox) is recognized as an important process in the marine nitrogen cycle yet nothing is known about the distribution, diversity and activity of anammox bacteria in the terrestrial realm. In this study, we report on the detection of anammox sequences of Candidatus Brocadia, Kuenenia, Scalindua and Jettenia in marshes, lakeshores, a contaminated porous aquifer, permafrost soil, agricultural soil and in samples associated with nitrophilic or nitrogen-fixing plants. This suggests a higher diversity of anammox bacteria in terrestrial than in marine ecosystems and could be a consequence of the larger variety of suitable niches in soils. Anammox bacteria were not ubiquitously present but were only detected in certain soil types and at particular depths, thus reflecting specific ecological requirements. As opposed to marine water column habitats where Candidatus Scalindua dominates anammox guilds, Kuenenia and Brocadia appear to be the most common representatives in terrestrial environments. The ISME Journal (2010) 4, 450-454; doi:10.1038/ismej.2009.125; published online 10 December 2009	2010	10.1038/ismej.2009.125
Wilkinson, DM	Have we underestimated the importance of humans in the biogeography of free-living terrestrial microorganisms?	JOURNAL OF BIOGEOGRAPHY	The role of humans in the global dispersal of free-living terrestrial microorganisms has received surprisingly little attention in the literature, compared with the frequent discussions of human dispersal for aquatic microbes. Here I argue that this area needs more study, using examples from the ecology of testate amoebae to illustrate the nature of the problem. The techniques of molecular ecology now make these ideas open to investigation in a way that would have been difficult in the past, and, in the case of testate amoebae, palaeoecological approaches may also be valuable.	2010	10.1111/j.1365-2699.2009.02236.x
Dumbrell, AJ; Nelson, M; Helgason, T; Dytham, C; Fitter, AH	Idiosyncrasy and overdominance in the structure of natural communities of arbuscular mycorrhizal fungi: is there a role for stochastic processes?	JOURNAL OF ECOLOGY	1. Most studies of species abundance patterns focus on conspicuous macroorganisms while microbial communities remain relatively understudied. This bias is a concern given the functional importance and high diversity of microbes. 2. We determine whether a common species abundance distribution (SAD) is observed in communities of a widespread group of soil microbes, the Glomeromycota or arbuscular mycorrhizal (AM) fungi. Using molecular techniques, we intensively sampled the AM fungal community of a woodland-grassland ecotone in Yorkshire, UK. Observed species abundances were compared to theoretical models describing SADs. We also reanalysed 32 previously published data sets in a similar manner. 3. Species abundance distributions in all the AM fungal communities fitted both lognormal and broken-stick models. However, these models consistently and significantly underpredicted the abundance of the most abundant AM fungal taxon. We found that AM fungal communities are typically dominated by a single taxon; representing on average 40% of total abundance within the community. Phylogenetic analysis of the most abundant taxa across data sets showed that the dominant AM fungal type in each community was different and not a widespread generalist. 4. We conclude that a common community structure is present in AM fungal communities from different habitats. The fit to log-normal and broken-stick models suggests the influence of niche differentiation structuring these communities. However, the consistently observed overdominance indicates that local adaptation and stochastic processes may also play important roles in structuring these communities, and we propose a mechanism to explain overdominance in AM fungal communities. 5. Synthesis. This paper applies ecological models derived from studies on larger organisms to microbial communities. Results from this study suggest that a common log-normal SAD is likely to be observed across both microbial and macro taxa. However, due to the distinctive features of microbial biology, some noticeable differences, such as heavy overdominance, may lead to unique structures in microbial communities. This research not only highlights that, to a first approximation, microbial communities follow similar processes and have similar patterns to those of macroorganisms, but also the need for large-scale microbial data sets, if we are to understand the patterns and processes regulating global biodiversity.	2010	10.1111/j.1365-2745.2009.01622.x
Thornburg, CC; Zabriskie, TM; McPhail, KL	Deep-Sea Hydrothermal Vents: Potential Hot Spots for Natural Products Discovery?	JOURNAL OF NATURAL PRODUCTS	Deep-sea hydrothermal vents are the most extreme and dynamic environments on Earth. However, islands of highly dense and biologically diverse Communities exist in the immediate vicinity of hydrothermal vent flows, ill stalk contrast to the surrounding bare seafloor. These communities comprise organisms with distinct metabolisms based oil chemosynthesis and growth rates comparable to those from shallow water tropical environments, which have been rich Sources Of biologically active natural products. The geological Setting and geochemical nature Of deep-se vents that impact (lie biogeography of vent organisms, chemosynthesis, and the known biological and metabolic diversify of Eukarya, Bacteria, and Archaca, including the handful Of natural products; isolated to date from deep-sea Vent organisms, arc considered here in all assessment of deep-sea hydrothermal vents as potential hot Spots for natural products investigations. of critical importance too are (lie logistics of collecting (feel) vent organisms, opportunities for re-collection considering the stability and longevity of vent sites, and the ability to culture natural product-producing, deep Vent organisms in the laboratory. New cost-effective technologies in deep-sea research and more advanced Molecular techniques aimed at screening a more inclusive genetic assembly are poised to accelerate natural product discoveries from these microbial diversity hot spots.	2010	10.1021/np900662k
Wu, YP; Yu, XS; Wang, HZ; Ding, N; Xu, JM	Does history matter? Temperature effects on soil microbial biomass and community structure based on the phospholipid fatty acid (PLFA) analysis	JOURNAL OF SOILS AND SEDIMENTS	Temperature is an important environmental factor regulating soil microbial biomass, activity, and community. Soils from different climatic regions may have very different dominant soil microbes, which are acclimated to the local conditions like temperature. Changing soil temperature especially warming has been shown to increase the mortality rate of soil microbes. However, little is known about the responses of soil microbes coming from different climatic regions to different incubation temperatures. The objective of this study was to examine the temperature effects on microbial biomass and community of soils collected from cold, intermediate, and hot natural sites. Soils were collected from northern (Heilongjiang province), central (Jiangsu province), and southern (Guangxi province) China, these soils having very different temperature histories. The Heilongjiang soil was from the coldest region with a mean annual temperature of 1.2A degrees C, the Jiangsu soil was intermediate with a mean annual temperature of 15.7A degrees C, and Guangxi soil was from the hottest area, with a mean annual temperature of 21.2A degrees C. These three soils were incubated at 4A degrees C, 15A degrees C, 25A degrees C, and 35A degrees C for up to 56 days. Phospholipid fatty acid (PLFA) analyses were conducted on days 0, 3, 7, 14, 28, and 56 to track the dynamics of soil microbes. Soil microbial biomass indexed by total phospholipid fatty acid concentration decreased with increasing incubation temperature, with that of the Heilongjiang soil decreasing most. At the end of incubation, the biomass at 35A degrees C in the Heilongjiang, Jiangsu, and Guangxi soils had declined to 65%, 72%, and 96% of the initial biomass, respectively. The PLFA patterns shifted with increasing temperatures in all the soils, especially at 35A degrees C; the change was biggest in the Heilongjiang soil. History does have effects on soil microbes responding to environmental stress. Soil microbial biomass and PLFA profiles shifted least in the Guangxi soil with the hottest temperature history and most in the Heilongjiang soil with the coldest temperature, indicating that the distribution of free-living microorganisms is influenced by climatic factors. The majority of soil microorganisms coming from the hot regions are more adapted to high temperature (35A degrees C) compared to those from the cold area. There are some regular changes of PLFA profiles when increasing incubation temperature to 35A degrees C. However, the effect of incubation temperature on soil microbial community structure was inconclusive. As PLFA profile community structure is the phenotypic community structure. Genotype experiments are required to be done in future studies for the better understanding of soil microbes in different climate regions with concerning temperature variation. With the increasing incubation temperature, soil microbial biomass and PLFA profiles shifted most in the soil with the coldest temperature history and least in the soil with the hottest temperature. History does matter in determining soil microbial dynamics when facing thermal stress.	2010	10.1007/s11368-009-0118-5
Findlay, S	Stream microbial ecology	JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY	Microbes play numerous roles in stream ecosystems They carry Out key processes in stream nutrient cycles and are responsible for a large part of organic matter breakdown. Advances over the past 25 y in our understanding of which microbes are linked to specific processes have been rapid and fundamental, in part, because of improvements in methods. It is now clear that immobilization of inorganic nutrients and other transformations are Just as important as release of nutrients during organic matter decomposition Microbial biomass is recognized as a key portion of trophic transfer, but our understanding of the pathways of connection have changed Information on the actual composition of microbial communities is very recent, and it is still unclear whether there are consistent biogeographic patterns in freshwater bacterial composition One of the major areas of potential advancement is clarifying the linkage between microbial community composition and ecosystem function Determining the strength of the connection between microbial assemblage composition and the processes they catalyze remains a technical and conceptual hurdle Quantifying the strength of this linkage seems necessary to understand variability in both composition and function because feedbacks are likely in cases where the link is strong The future of the field is bright, but we. need to understand how microbes and the processes they carry out will respond to climate charge and novel stream management approaches	2010	10.1899/09-023.1
Genise, JF; Alonso-Zarza, AM; Krause, JM; Sanchez, MV; Sarzetti, L; Farina, JL; Gonzalez, MG; Cosarinsky, M; Bellosi, ES	Rhizolith balls from the Lower Cretaceous of Patagonia: Just roots or the oldest evidence of insect agriculture?	PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY	A new type of trace fossil from the Lower Cretaceous of Patagonia that may record the oldest evidence of insect agriculture is represented by biconvex, sub-spherical, carbonate balls composed of a dense mass of rhizoliths. The best preserved balls show an external wall, a tunnel entrance, and vertical, large rhizoliths crossing from top to base, from which a mass of smaller rhizoliths arise. In some cases there is a pelletal surface texture in internal layers of the wall. Some specimens show meniscate tubes attributed to organisms different than the constructors of the chambers, probably attracted by the original organic matter. Micromorphology, analyzed by thin sections and SEM, shows strong evidence of high fungal activity associated to the original roots. Four different hypotheses are analyzed to explain the origin of the balls. The less probable ones are either that the balls were produced only by a self induced and localised overgrowth of secondary and tertiary rootlets from a group of neighbouring primary roots, or that they were crayfishes feeding chambers. Rhizolith arrangement, as well as other characters, essentially rule out both hypotheses. The hypotheses involving social insects, termites and ants, are more risky, considering the lack of support from the body fossil record, the biogeography of these extant insects, and particularly the lack of definitive evidence of discrete fungus or bacterial gardens in the balls. However, the trace fossils described herein partially resemble the nests and behaviour of the African termite Sphaerothermes sphaerothorax, particularly because of the presence of roots inside a thick lined chamber excavated around them to cultivate bacterial combs. The ant origin of these balls is at least a hypothesis to explore considering the size, shape, wall, entrance tunnel, presence of traces of associated organisms, and particularly roots. The roots and wall relate these balls to hypothesised scenarios for the origin of fungus agriculture in ants. One hypothesis suggests that primitive Attini developed fungus agriculture from the habit of feeding on fungi associated with roots (mycorrhizae) and still other proposes that adventitious fungi on nest walls were responsible for the arise of fungiculture. The balls would supply physical evidence that by the lower Cretaceous some social insects excavated chambers around uncut roots, which in turn provided optimal conditions for fungi development. These rhizolith balls possibly constitute the oldest physical evidence for the origin of fungiculture in social insects, and represent a critical contribution of ichnology to this hot topic intensively discussed on the basis of a scattered body fossil record and molecular phylogeny. (C) 2010 Elsevier B.V. All rights reserved.	2010	10.1016/j.palaeo.2010.01.028
Kenzaka, T; Sueyoshi, A; Baba, T; Li, PF; Tani, K; Yamaguchi, N; Nasu, M	Soil Microbial Community Structure in an Asian Dust Source Region (Loess Plateau)	MICROBES AND ENVIRONMENTS	The bacterial community structure in four geographically isolated arid regions on the Loess plateau, China, a source of Asian dust, was investigated using a 16S rRNA gene. Denaturing gradient gel electrophoresis and sequencing demonstrated that community diversity in the Loess plateau was low, and a common Alphaproteobacteria phylotype was identified. Phylogenetic analyses of arid soils revealed that most phylotypes had low similarity with known strains in various phyla, suggesting that these regions contain phylogenetically divergent and unknown bacteria.	2010	10.1264/jsme2.ME09164
Winkelmann, N; Jaekel, U; Meyer, C; Serrano, W; Rachel, R; Rossello-Mora, R; Harder, J	Determination of the Diversity of Rhodopirellula Isolates from European Seas by Multilocus Sequence Analysis	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	In the biogeography of microorganisms, the habitat size of an attached-living bacterium has never been investigated. We approached this theme with a multilocus sequence analysis (MLSA) study of new strains of Rhodopirellula sp., an attached-living planctomycete. The development of an MLSA for Rhodopirellula baltica enabled the characterization of the genetic diversity at the species level, beyond the resolution of the 16S rRNA gene. The alleles of the nine housekeeping genes acsA, guaA, trpE, purH, glpF, fumC, icd, glyA, and mdh indicated the presence of 13 genetically defined operational taxonomic units (OTUs) in our culture collection. The MLSA-based OTUs coincided with the taxonomic units defined by DNA-DNA hybridization experiments. BOX-PCR supported the MLSA-based differentiation of two closely related OTUs. This study established a taxon-area relationship of cultivable Rhodopirellula species. In European seas, three closely related species covered the Baltic Sea and the eastern North Sea, the North Atlantic region, and the southern North Sea to the Mediterranean. The last had regional genotypes, as revealed by BOX-PCR. This suggests a limited habitat size of attached-living Rhodopirellula species.	2010	10.1128/AEM.01525-09
Hughes, KA; Convey, P	The protection of Antarctic terrestrial ecosystems from inter- and intra-continental transfer of non-indigenous species by human activities: A review of current systems and practices	GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS	Invasions by non-indigenous species are amongst the greatest threats to global biodiversity, causing substantial disruption to, and sometimes local extinction of, individual species and community assemblages which, in turn, can affect ecosystem structure and function. The terrestrial environment of Antarctica consists of many isolated islands of ice-free ground. Prolonged isolation makes Antarctic biodiversity vulnerable to human-mediated impacts, in particular (1) the introduction of nonindigenous species from outside Antarctica, and (2) the redistribution of indigenous Antarctic species between biologically distinct areas within the continent. The Protocol on Environmental Protection to the Antarctic Treaty, the primary instrument through which environmental management is addressed within the Antarctic Treaty System, says little about unintentional introduction of non-indigenous species to Antarctica, and nothing specifically about human-mediated transfer of native species from one area to another. We review the effectiveness of the Antarctic protected area system, the primary means through which area-specific environmental protection is achieved under the Antarctic Treaty System. This reveals that the measures described in most Antarctic Specially Protected Area (ASPA) and Antarctic Specially Managed Area (ASMA) Management Plans, by themselves, may not be sufficient to (1) minimise the possibility of introduction of plants, animals and microbes not native to the protected area or (2) adequately protect the many unusual assemblages of species, type localities or only known habitats of certain species found in Antarctica. We discuss issues that should be considered in the development of a more effective system, including the implementation of appropriate biosecurity measures across different spatial scales and applied to different biological groups. Crown Copyright (C) 2009 Published by Elsevier Ltd. All rights reserved.	2010	10.1016/j.gloenvcha.2009.09.005
Schauer, R; Bienhold, C; Ramette, A; Harder, J	Bacterial diversity and biogeography in deep-sea surface sediments of the South Atlantic Ocean	ISME JOURNAL	Microbial biogeographic patterns in the deep sea depend on the ability of microorganisms to disperse. One possible limitation to microbial dispersal may be the Walvis Ridge that separates the Antarctic Lower Circumpolar Deep Water from the North Atlantic Deep Water. We examined bacterial communities in three basins of the eastern South Atlantic Ocean to determine diversity and biogeography of bacterial communities in deep-sea surface sediments. The analysis of 16S ribosomal RNA (rRNA) gene clone libraries in each basin revealed a high diversity, representing 521 phylotypes with 98% identity in 1051 sequences. Phylotypes affiliated with Gammaproteobacteria, Deltaproteobacteria and Acidobacteria were present in all three basins. The distribution of these shared phylotypes seemed to be influenced neither by the Walvis Ridge nor by different deep water masses, suggesting a high dispersal capability, as also indicated by low distance-decay relationships. However, the total bacterial diversity showed significant differences between the basins, based on 16S rRNA gene sequences as well as on terminal restriction fragment length polymorphism fingerprints. Noticeably, both geographic distance and environmental heterogeneity influenced bacterial diversity at intermediate (10-3000 km) and large scales (43000 km), indicating a complex interplay of local contemporary environmental effects and dispersal limitation. The ISME Journal (2010) 4, 159-170; doi: 10.1038/ismej.2009.106; published online 15 October 2009	2010	10.1038/ismej.2009.106
Jungblut, AD; Lovejoy, C; Vincent, WF	Global distribution of cyanobacterial ecotypes in the cold biosphere	ISME JOURNAL	Perennially cold habitats are diminishing as a result of climate change; however, little is known of the diversity or biogeography of microbes that thrive in such environments. Here we use targeted 16S rRNA gene surveys to evaluate the global affinities of cold-dwelling cyanobacteria from lake, stream and ice communities living at the northern limit of High Arctic Canada. Pigment signature analysis by HPLC confirmed the dominance of cyanobacteria in the phototrophic communities of these High Arctic microbial mats, with associated populations of chlorophytes and chromophytes. Microscopic analysis of the cyanobacteria revealed a diverse assemblage of morphospecies grouping into orders Oscillatoriales, Nostocales and Chroococcales. The 16S rRNA gene sequences from six clone libraries grouped into a total of 24 ribotypes, with a diversity in each mat ranging from five ribotypes in ice-based communities to 14 in land-based pond communities. However, no significant differences in composition were observed between these two microbial mat systems. Based on clone-library and phylogenetic analysis, several of the High Arctic ribotypes were found to be >99% similar to Antarctic and alpine sequences, including to taxa previously considered endemic to Antarctica. Among the latter, one High Arctic sequence was found 99.8% similar to Leptolyngbya antarctica sequenced from the Larsemann Hills, Antarctica. More than 68% of all identified ribotypes at each site matched only cyanobacterial sequences from perennially cold terrestrial ecosystems, and were <97.5% similar to sequences from warmer environments. These results imply the global distribution of low-temperature cyanobacterial ecotypes throughout the cold terrestrial biosphere. The ISME Journal (2010) 4, 191-202; doi: 10.1038/ismej.2009.113; published online 5 November 2009	2010	10.1038/ismej.2009.113
Kennedy, PG; Schouboe, JL; Rogers, RH; Weber, MG; Nadkarni, NM	Frankia and Alnus rubra Canopy Roots: An Assessment of Genetic Diversity, Propagule Availability, and Effects on Soil Nitrogen	MICROBIAL ECOLOGY	The ecological importance of microbial symbioses in terrestrial soils is widely recognized, but their role in soils that accumulate in forest canopies is almost entirely unknown. To address this gap, this study investigated the Frankia-Alnus rubra symbiosis in canopy and forest floor roots at Olympic National Park, WA, USA. Sixteen mature A. rubra trees were surveyed and Frankia genetic diversity in canopy and forest floor nodules was assessed with sequence-based nifH analyses. A seedling bioassay experiment was conducted to determine Frankia propagule availability in canopy and forest floor soils. Total soil nitrogen from both environments was also quantified. Nodules were present in the canopies of nine of the 16 trees sampled. Across the study area, Frankia canopy and forest floor assemblages were similar, with both habitats containing the same two genotypes. The composition of forest floor and canopy genotypes on the same tree was not always identical, however, suggesting that dispersal was not a strictly local phenomenon. Frankia seedling colonization was similar in canopy soils regardless of the presence of nodules as well as in forest floor soils, indicating that dispersal was not likely to be a major limiting factor. The total soil nitrogen of canopy soils was higher than that of forest floor soils, but the presence of Frankia nodules in canopy soils did not significantly alter soil nitrogen levels. Overall, this study indicates that the Frankia-A. rubra symbiosis is similar in canopy and forest floor environments. Because canopy roots are exposed to different environmental conditions within very small spatial areas and because those areas can be easily manipulated (e.g., fertilizer or watering treatments), they present microbial ecologists with a unique arena to examine root-microbe interactions.	2010	10.1007/s00248-009-9587-8
Namsaraev, Z; Mano, MJ; Fernandez, R; Wilmotte, A	Biogeography of terrestrial cyanobacteria from Antarctic ice-free areas	ANNALS OF GLACIOLOGY	Cyanobacteria inhabit the Antarctic continent and have even been observed in the most southerly ice-free areas of Antarctica (86-87 degrees S). The highest molecular diversity of cyanobacterial communities was found in the areas located between 70 degrees S and 80 degrees S. Further south and further north from this zone, the diversity abruptly decreased. Seventy-nine per cent (33 of 42 operational taxonomic units) of Antarctic terrestrial cyanobacteria have a cosmopolitan distribution. Analysis of the sampling efforts shows that only three regions (southern Victoria Land, the Sor Rondane Mountains and Alexander Island) have been particularly well studied, while other areas did not receive enough attention. Although cyanobacteria possess a capacity for long-range transport, regional populations in Antarctic ice-free areas seem to exist. The cyanobacterial communities of the three most intensively studied regions, separated from each other by a distance of 3000-3400 km, had a low degree of similarity with each other. Further development of microbial biogeography demands a standardized approach. For this purpose, as a minimal standard, we suggest using the sequence of cyanobacterial 16S rRNA gene between Escherichia coli positions 405 and 780.	2010	
Petronio, JAG; Rivera, WL	Ultrastructure and SSU rDNA Phylogeny of Paraphysomonas vestita (Stokes) De Saedeleer Isolated from Laguna de Bay, Philippines	ACTA PROTOZOOLOGICA	Paraphysomonas vestita is a unicellular, colorless, silica-scaled chrysophyte that plays an important ecological role in freshwater microbial communities as a consumer of prokaryotic and eukaryotic prey. There is little biogeographical information for this minute protist despite its significant role in aquatic food webs. In addition, the phylogenetic relationship of P. vestita to other taxa is unclear as P. vestita may be polyphyletic or a cryptic species complex. In this study, a clonal isolate from a freshwater sample of Laguna de Bay, Philippines was subjected to morphological study by electron microscopy and its small subunit ribosomal RNA (SSU rRNA) gene was sequenced. Morphological studies showed that the isolate possesses two unequal flagella emerging from the anterior part of the cell. Negative staining revealed the structure of the scales which consist of a baseplate with slightly thickened rim. The narrowing spine arises from the center of the baseplate. These results agree with previously studied isolates of P. vestita. The 18S rRNA gene sequence of the isolate had a very high similarity (99%) to P. vestita strain PV10. Phylogenetic analysis also showed that the isolate clustered with other Paraphysomonas sequences with high bootstrap support. Phylogenetic studies confirmed that P. vestita may be polyphyletic. No studies on the ultrastructure and phylogeny of a silica-scaled chrysophyte isolated in the Philippines have been reported so far. Results from this study may contribute to further ultrastructural and phylogenetic studies on aquatic flagellates and specifically to a revision of this potentially polyphyletic species.	2010	
Everard, K; Seabloom, EW; Harpole, WS; de Mazancourt, C	Plant Water Use Affects Competition for Nitrogen: Why Drought Favors Invasive Species in California	AMERICAN NATURALIST	Classic resource competition theory typically treats resource supply rates as independent; however, nutrient supplies can be affected by plants indirectly, with important consequences for model predictions. We demonstrate this general phenomenon by using a model in which competition for nitrogen is mediated by soil moisture, with competitive outcomes including coexistence and multiple stable states as well as competitive exclusion. In the model, soil moisture regulates nitrogen availability through soil moisture dependence of microbial processes, leaching, and plant uptake. By affecting water availability, plants also indirectly affect nitrogen availability and may therefore alter the competitive outcome. Exotic annual species from the Mediterranean have displaced much of the native perennial grasses in California. Nitrogen and water have been shown to be potentially limiting in this system. We parameterize the model for a Californian grassland and show that soil moisture-mediated competition for nitrogen can explain the annual species dominance in drier areas, with coexistence expected in wetter regions. These results are concordant with larger biogeographic patterns of grassland invasion in the Pacific states of the United States, in which annual grasses have invaded most of the hot, dry grasslands in California but perennial grasses dominate the moister prairies of northern California, Oregon, and Washington.	2010	10.1086/648557
Neher, DA	Ecology of Plant and Free-Living Nematodes in Natural and Agricultural Soil	ANNUAL REVIEW OF PHYTOPATHOLOGY, VOL 48	Nematodes are aquatic organisms that depend on thin water films to live and move within existing pathways of soil pores of 25-100 mu m diameter. Soil nematodes can be a tool for testing ecological hypotheses and understanding biological mechanisms in soil because of their central role in the soil food web and linkage to ecological processes. Ecological succession is one of the most tested community ecology concepts, and a variety of nematode community indices have been proposed for purposes of environmental monitoring. In contrast, theories of biogeography, colonization, optimal foraging, and niche partitioning by nematodes are poorly understood. Ecological hypotheses related to strategies of coexistence of nematode species sharing the same resource have potential uses for more effective biological control and use of organic amendments to foster disease suppression. Essential research is needed on nematodes in natural and agricultural soils to synchronize nutrient release and availability relative to plant needs, to test ecological hypotheses, to apply optimal foraging and niche partitioning strategies for more effective biological control, to blend organic amendments to foster disease suppression, to monitor environmental and restoration status, and to develop better predictive models for land-use decisions.	2010	10.1146/annurev-phyto-073009-114439
Alonso, C; Gomez-Pereira, P; Ramette, A; Ortega, L; Fuchs, BM; Amann, R	Multilevel analysis of the bacterial diversity along the environmental gradient Rio de la Plata-South Atlantic Ocean	AQUATIC MICROBIAL ECOLOGY	The Rio de la Plata is the worlds largest estuary, draining the second largest basin of South America. In spite of its key significance at the local and global scale, this is the first attempt made so far to characterize the bacterial diversity of this system. We employed a suite of molecular methods to analyze the bacterial diversity at different phylogenetic levels, both in terms of richness and evenness, and we related these findings to physicochemical parameters. A clear environmental gradient was observed with 3 distinctive zones (riverine, frontal, and marine). In turn, the bacterial communities appeared highly diverse and strongly structured by the environment. A high number (324) of different operational taxonomic units (OTUs) were identified by automated ribosomal intergenic spacer analysis (ARISA). The ARISA results suggested that the composition of bacterioplankton communities was strongly related to physicochemical water characteristics, and that the bacterioplankton had little overlap with the bacterial assemblage of the sediments. Catalyzed reporter deposition-fluorescence in situ hybridization (CARD-FISH) indicated that Betaproteobacteria and Actinobacteria were more abundant in the riverine zone, whereas Gammaproteobacteria and Planctomycetes preferred the marine waters. The relative abundance of Bacteroidetes peaked in the frontal zone, and Alphaproteobacteria were numerically dominant throughout the estuary. The analysis of about 300 almost full-length 16S rRNA gene sequences pointed to the existence of ubiquitous phylotypes, but also suggested habitat preferences among certain groups. This first look into the bacterial community of the Rio de la Plata demonstrated marked diversity patterns, providing further insights into the ecology of globally distributed groups of aquatic bacteria.	2010	10.3354/ame01439
Wietz, M; Gram, L; Jorgensen, B; Schramm, A	Latitudinal patterns in the abundance of major marine bacterioplankton groups	AQUATIC MICROBIAL ECOLOGY	The present study describes the abundance of major marine bacterioplankton groups and 2 bacterial genera (Pseudoalteromonas and Vibrio) in surface seawater at 24 stations around the world. Catalyzed reporter deposition-fluorescence in situ hybridization showed that Alphaproteobacteria (average relative abundance 37%, average absolute abundance 3.7 x 10(5) cells ml(-1)) including SAR11 [30% / (3 x 10(5))], Gammaproteobacteria [14% / (1.2 x 10(5))] and Bacteroidetes [12% / (1.3 x 10(5))] globally dominated the bacterioplankton. The SAR86 clade [4.6% / (4.1 x 10(4))] and Actinobacteria [4.5% / (4 x 10(4))] were detected ubiquitously, whereas Archaea were scarce [0.6% / (4.2 x 10(3))]. The Roseobacter clade [averaging 3.8% / (3.5 x 10(4))], Pseudoalteromonas [2.6% / (2.1 x 10(4))] and Vibrio [1.5% / (1.3 x 10(4))] showed cosmopolitan occurrence. Principal component analysis revealed a latitudinal pattern in bacterial abundances by clustering samples according to lower and higher latitudes. This was related to significantly different relative abundances of Bacteroidetes (peaking at higher latitudes) and of unclassified Bacteria and Vibrio (both peaking at lower latitudes) between warmer and colder oceans. Relative abundances of Alphaproteobacteria (peaking at subtropical) and Gammaproteobacteria (polar stations) varied between major oceanic biomes, as did absolute abundances of Roseobacter (peaking at temperate and polar stations). For almost all groups, absolute abundances were positively correlated with nutrient concentrations in warmer oceans and negatively correlated with oxygen saturation in colder oceans. On a global scale, Roseobacter and SAR86 were correlated with chlorophyll a. Linkages of environmental parameters with relative abundances were more complex, with e. g. Bacteroidetes being associated with chlorophyll a. The finding of differing communities in warmer and colder oceans underlined the presence of biogeographical patterns among marine bacteria and the influence of environmental parameters on bacterial distribution.	2010	10.3354/ame01443
